J’espère que ce tweet sera retweeté des milliers de fois pour dénoncer le racisme ,  les injures sans raisons .  Cette jeune m    neutre
J’espère que les personnes qui ont fait de mon année 2017 la meilleure resteront jusqu’au dernier moment    neutre
J’espère pour toi    neutre
J'espère que ses fans m'insulteront encore longtemps . Thiago Silva est surcoté .  L'absent des grands matches .  0 mental ,  i    neutre
c'est pour ça que j'espère un Barça - Chelsea en 8ème ,  qu'Eden fasse 2 gros matchs pour qu'on s'y intéresse enfin    neutre
j’espère que le temps fera bien les choses    neutre
J’espère au minimum t’avoir marqué    neutre
bonne nuit j’espere que demain sera une meilleure journée mm si je sais que nn haha    positive
Je vais peut être me faire rafaler mais j’espère on va tirer la Juve en 1/8eme  !    neutre
j’espère que le temps fera bien les choses    neutre
j’espère que le temps fera bien les choses    neutre
Oh d'accord .  J'espère que tu auras les réponses que tu cherches .  Courage    neutre
J’espère  !    neutre
J’espère pour toi    neutre
J'espère réussir mon année et mon permis je souhaite plus que ca et voir les personnes que j'aime réussir    positive
j’espère jv voir ta gueule à compter les bouteilles d’alcools    neutre
J'espère qu'en 2018 on pourra retrouver le respect perdu en 2017 .    neutre
J'espère mes futurs enfants ils auront pas dans l'idée de se rouler par terre ds un magasin car je refuse leur acheter qqc    neutre
Même si c'est un épisode spécial anniversaire ,  celui - ci sonne comme un au - revoir ,  on espère encore voir la famille    neutre
j’espère que le temps fera bien les choses    neutre
